Year,Value
2011,0.250391804
2012,0.267195092
2013,0.274112804
2014,0.284416294
2015,0.291266821
2016,0.312249399
2017,0.328077505
2018,0.336584392
2019,0.349461828
2020,0.374819414
2021,0.371525128
2022,0.369681224
