Indicator
#1-1-1
#1-2-1
#1-2-2
#1-3-1
#1-4-1
#1-4-2
#1-5-3
#1-5-4
#1-a-2
#1-b-1
#10-1-1
#10-5-1
#11-1-1
#11-2-1
#11-3-2
#11-4-1
#11-6-1
#11-b-1
#11-b-2
#12-a-1
#13-1-2
#13-1-3
#13-2-1
#13-2-2
#16-1-1
#16-1-3
#16-1-4
#16-2-3
#16-5-1
#16-6-1
#16-6-2
#16-7-1
#17-1-2
#17-14-1
#17-16-1
#17-6-1
#2-1-1
#2-1-2
#2-2-2
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-3-2
#3-3-3
#3-6-1
#3-7-1
#3-8-1
#3-a-1
#3-b-3
#3-c-1
#4-4-1
#4-6-1
#5-1-1
#5-2-1
#5-5-1
#5-b-1
#6-1-1
#6-2-1
#6-4-1
#7-1-1
#7-1-2
#7-b-1
#8-1-1
#8-2-1
#8-3-1
#8-5-2
#8-6-1
#8-9-1
#9-2-1
#9-2-2
#9-4-1
#9-c-1
