Indicator
#1-5-1
#1-5-2
#10-2-1
#10-4-1
#11-3-1
#11-5-1
#11-5-2
#11-5-3
#11-6-2
#11-7-1
#12-5-1
#13-1-1
#15-1-2
#16-1-2
#16-7-2
#17-1-1
#17-17-1
#2-3-1
#2-4-1
#3-5-1
#3-5-2
#3-8-2
#3-d-1
#3-d-2
#5-2-2
#5-4-1
#5-5-2
#6-3-1
#6-3-2
#6-6-1
#7-2-1
#7-3-1
#8-10-2
#8-5-1
#9-1-1
#9-1-2
#9-5-1
