Value,Disaggregation combinations using this value,Number of indicators
0.235019084,1,1
0.252895414,1,1
0.260545202,1,1
0.272627615,1,1
0.281541771,1,1
0.303271525,1,1
0.319859083,1,1
0.329022314,1,1
0.342424269,1,1
0.360854826,1,1
0.363811262,1,1
0.368320085,1,1
