Value,Disaggregation combinations using this value,Number of indicators
0.128977783,1,1
0.144664621,1,1
0.149232943,1,1
0.158809821,1,1
0.163488942,1,1
0.187802204,1,1
0.202645253,1,1
0.207753505,1,1
0.216191016,1,1
0.23680127,1,1
0.238412237,1,1
0.239838772,1,1
