Value,Disaggregation combinations using this value,Number of indicators
0-10 minutes,1,1
11-20 minutes,1,1
Average,3,3
Bit unsafe,1,1
Dissatisfied,2,2
Owned,1,1
Pov_Food_%,3,3
Pov_Low_%,3,3
Pov_Upper_%,3,3
Renting,1,1
Very dissatisfied,2,2
Very unsafe,1,1
