Value,Disaggregation combinations using this value,Number of indicators
0.387178544,1,1
0.40402524,1,1
0.412560266,1,1
0.421811447,1,1
0.428769749,1,1
0.445674469,1,1
0.46172818,1,1
0.472977357,1,1
0.489770199,1,1
0.511387574,1,1
0.512351885,1,1
0.516299386,1,1
